Занимаемая должность;Тип должности
Аппаратчик мукомольного производства;не медицинская должность
Аппаратчик мыловарения;не медицинская должность
Аппаратчик мягчения кожевенных полуфабрикатов и меховых шкурок;не медицинская должность
Аппаратчик на изготовление микропроводов в стеклянной изоляции;не медицинская должность
Аппаратчик на плазменных установках;не медицинская должность
Аппаратчик на приготовлении смесей и растворов;не медицинская должность
Аппаратчик на пропиточных агрегатах;не медицинская должность
Аппаратчик нагрева теплоносителей;не медицинская должность
Аппаратчик нанесения полимерных и парафиновых покрытий на сыры;не медицинская должность
Аппаратчик напыления металлом;не медицинская должность
Аппаратчик насыщения;не медицинская должность
Аппаратчик нейтрализации;не медицинская должность
Аппаратчик никелирования стеклоткани;не медицинская должность
Аппаратчик нитрозного процесса;не медицинская должность
Аппаратчик обезвоживания;не медицинская должность
Аппаратчик обезвоздушивания и фильтрации;не медицинская должность
Аппаратчик обезжиривания;не медицинская должность
Аппаратчик обезжиривания сиропов;не медицинская должность
Аппаратчик обеззоливания, мягчения;не медицинская должность
Аппаратчик обессоливания воды;не медицинская должность
Аппаратчик обесфеноливания и обеспиридинивания масел;не медицинская должность
Аппаратчик обжига;не медицинская должность
Аппаратчик облагораживания гексола;не медицинская должность
Аппаратчик обогащения золотосодержащих руд;не медицинская должность
Аппаратчик обработки;не медицинская должность
Аппаратчик обработки зерна;не медицинская должность
Аппаратчик обработки крови;не медицинская должность
Аппаратчик обработки рыбьего жира;не медицинская должность
Аппаратчик обработки эфирных масел;не медицинская должность
Аппаратчик окисления;не медицинская должность
Аппаратчик окисления и обезвоживания битума;не медицинская должность
Аппаратчик окисления молибденовых отходов;не медицинская должность
Аппаратчик окраски квасцов;не медицинская должность
Аппаратчик оксимирования;не медицинская должность
Аппаратчик оксихлорирования;не медицинская должность
Аппаратчик омыления;не медицинская должность
Аппаратчик ориентации органического стекла;не медицинская должность
Аппаратчик осаждения;не медицинская должность
Аппаратчик осаждения глютена;не медицинская должность
Аппаратчик осушки газа;не медицинская должность
Аппаратчик отбеливания;не медицинская должность
Аппаратчик отверждения;не медицинская должность
Аппаратчик отделки и сушки химической нити;не медицинская должность
Аппаратчик отжига кристаллов корунда;не медицинская должность
Аппаратчик отжига хрома;не медицинская должность
Аппаратчик отжима;не медицинская должность
Аппаратчик откатки;не медицинская должность
Аппаратчик отстаивания;не медицинская должность
Аппаратчик охлаждения;не медицинская должность
Аппаратчик охлаждения молочных продуктов;не медицинская должность
Аппаратчик очистки алмазного концентрата;не медицинская должность
Аппаратчик очистки газа;не медицинская должность
Аппаратчик очистки жидкости;не медицинская должность
Аппаратчик очистки сточных вод;не медицинская должность
Аппаратчик парафинирования ткани;не медицинская должность
Аппаратчик пароводотермического агрегата;не медицинская должность
Аппаратчик пастеризации;не медицинская должность
Аппаратчик перегонки;не медицинская должность
Аппаратчик перегонки и ректификации спирта;не медицинская должность
Аппаратчик перегревания;не медицинская должность
Аппаратчик переработки отходов химического производства;не медицинская должность
Аппаратчик переэтерификации;не медицинская должность
Аппаратчик перколяции;не медицинская должность
Аппаратчик печей восстановления;не медицинская должность
Аппаратчик пиролиза;не медицинская должность
Аппаратчик плавления;не медицинская должность
Аппаратчик плюсования;не медицинская должность
Аппаратчик по выработке уксуса;не медицинская должность
