Занимаемая должность;Тип должности
Отделочник художественных изделий;не медицинская должность
Отделывальщик клише;не медицинская должность
Отделывальщик шрифтовой продукции;не медицинская должность
Отдельщик выдувных изделий;не медицинская должность
Отжигальщик изделий;не медицинская должность
Отжигальщик кабельных изделий;не медицинская должность
Отжигальщик прецизионной стали и сплавов;не медицинская должность
Отжигальщик стеклоизделий;не медицинская должность
Отжигальщик цветных металлов;не медицинская должность
Отжигальщик-вакуумщик;не медицинская должность
Отжимщик;не медицинская должность
Отжимщик белья на центрифугах;не медицинская должность
Отжимщик воздуха и влаги из камер;не медицинская должность
Отжимщик холстов;не медицинская должность
Откачник-вакуумщик;не медицинская должность
Откладчик изделий в опечки;не медицинская должность
Отливщик;не медицинская должность
Отливщик валиков;не медицинская должность
Отливщик литых бумажных изделий;не медицинская должность
Отливщик магнитов на печах-кристаллизаторах;не медицинская должность
Отливщик натриевых болванок;не медицинская должность
Отливщик фарфоровых и фаянсовых изделий;не медицинская должность
Отломщик стекла от машин;не медицинская должность
Отметчик ареометров;не медицинская должность
Отметчик термометров;не медицинская должность
Отопщик на карусельной машине;не медицинская должность
Отпарщик-прессовщик;не медицинская должность
Отрезчик ленты стекла;не медицинская должность
Офис-менеджер;не медицинская должность
Официант;не медицинская должность
Оформитель готовой продукции;не медицинская должность
Оформитель диапозитивных фильмов;не медицинская должность
Оформитель игрушек;не медицинская должность
Оформитель коллекций;не медицинская должность
Оформитель табло виньеток и альбомов;не медицинская должность
Охлаждальщик ткани;не медицинская должность
Охотник промысловый;не медицинская должность
Охранник;не медицинская должность
Оценщик;не медицинская должность
Оценщик I категории;не медицинская должность
Оценщик II категории;не медицинская должность
Оцинковщик горячим способом;не медицинская должность
Оцинковщик-хромировщик диффузионным способом;не медицинская должность
Очесывальщик барабанов;не медицинская должность
Пантографист;не медицинская должность
Парафинировщик изделий;не медицинская должность
Парафинировщик керамических и фарфоровых изделий;не медицинская должность
Парафинировщик художественных изделий;не медицинская должность
Парашютист (десантник) - пожарный;не медицинская должность
Парикмахер;не медицинская должность
Паркетчик;не медицинская должность
Парусник;не медицинская должность
Паспортист;не медицинская должность
Пастижер;не медицинская должность
Патинировщик;не медицинская должность
Патронист рисунков;не медицинская должность
Паяльщик;не медицинская должность
Паяльщик пакетов конденсаторов;не медицинская должность
Паяльщик по винипласту;не медицинская должность
Паяльщик по свинцу (свинцовопаяльщик);не медицинская должность
Паяльщик радиодеталей;не медицинская должность
Паяльщик сеток и шинок на стекле;не медицинская должность
Паяльщик труб;не медицинская должность
педагог дополнительного образования;не медицинская должность
педагог-библиотекарь;не медицинская должность
педагог-организатор;не медицинская должность
педагог-психолог;не медицинская должность
Педикюрша;не медицинская должность
Пекарь;не медицинская должность
Пекарь-мастер;не медицинская должность
Пекоплавщик;не медицинская должность
Переводчик;не медицинская должность
Переводчик (в сфере туризма);не медицинская должность
Переводчик I категории;не медицинская должность
Переводчик II категории;не медицинская должность
Переводчик обойных рисунков;не медицинская должность
Переводчик печати и рисунка;не медицинская должность
Переводчик рисунков;не медицинская должность
Переводчик синхронный;не медицинская должность
Переводчик синхронный I категории;не медицинская должность
Переводчик синхронный II категории;не медицинская должность
Переводчик форм глубокой печати;не медицинская должность
Переводчик-дактилолог;не медицинская должность
Переводчик-дактилолог I категории;не медицинская должность
Перегонщик печей и трансбордерных установок;не медицинская должность
Перезарядчик контактных аппаратов;не медицинская должность
Перезарядчик сборочных станков;не медицинская должность
Перезарядчик установки декристаллизации каучука;не медицинская должность
Перезарядчик фильтр-прессов и диализаторов;не медицинская должность
Перекатчик ткани и прокладки;не медицинская должность
Перекристаллизаторщик;не медицинская должность
Перемотчик;не медицинская должность
Перемотчик бумаги и бумажной пряжи;не медицинская должность
Перемотчик ленты;не медицинская должность
Перемотчик нити;не медицинская должность
Перемотчик основ;не медицинская должность
Перемотчик рулонов;не медицинская должность
Перемотчик стеклоткани;не медицинская должность
Перемотчик электроизоляционных материалов;не медицинская должность
Перемотчик-сортировщик;не медицинская должность
Переплетчик;не медицинская должность
Переплетчик документов;не медицинская должность
Переработчик радиоактивных отходов;не медицинская должность
Пересадчик сетей;не медицинская должность
Перетяжчик перчаточной кожи;не медицинская должность
Перфораторщик;не медицинская должность
Перфораторщик магнитных лент;не медицинская должность
Перфораторщик пленок из пластических масс;не медицинская должность
Перфораторщик фольги;не медицинская должность
Пескослепщик;не медицинская должность
Пескоструйщик;не медицинская должность
Пескоструйщик по стеклу;не медицинская должность
Печатник брайлевской печати;не медицинская должность
Печатник высокой печати;не медицинская должность
Печатник глубокой печати;не медицинская должность
Печатник диаграммной продукции;не медицинская должность
Печатник металлографской печати;не медицинская должность
Печатник миллиметровки;не медицинская должность
Печатник на линолеуме;не медицинская должность
Печатник орловской печати;не медицинская должность
Печатник печатно-высекального автомата;не медицинская должность
Печатник плоской печати;не медицинская должность
Печатник по жести;не медицинская должность
Печатник субтитрования;не медицинская должность
Печатник трафаретной печати;не медицинская должность
Печатник флексографской печати;не медицинская должность
Печатник циферблатов;не медицинская должность
Печатник эстампа;не медицинская должность
Печатник-тиснильщик;не медицинская должность
Печевой в производстве цинковой пыли;не медицинская должность
Печевой восстановления железа и отжига железных порошков;не медицинская должность
Печевой иодидного рафинирования;не медицинская должность
Печевой на вельцпечах;не медицинская должность
Печевой на восстановлении и дистилляции титана и редких металлов;не медицинская должность
Печевой на получении цинкового купороса;не медицинская должность
Печевой по восстановлению никелевого порошка;не медицинская должность
Печевой по восстановлению термическим способом;не медицинская должность
Печевой по переработке титаносодержащих и редкоземельных материалов;не медицинская должность
Печевой по производству трехокиси сурьмы;не медицинская должность
Печник;не медицинская должность
Пилоправ;не медицинская должность
Пильщик;не медицинская должность
Пирометрист;не медицинская должность
Пиротехник;не медицинская должность
Плавильщик;не медицинская должность
Плавильщик абразивных материалов;не медицинская должность
Плавильщик бариевого электролита;не медицинская должность
Плавильщик вторичного олова;не медицинская должность
Плавильщик изделий из кварцевого непрозрачного стекла;не медицинская должность
Плавильщик карбида кремния;не медицинская должность
Плавильщик металла и сплавов;не медицинская должность
Плавильщик металла на вакуумных печах;не медицинская должность
Плавильщик нафталина и фенолов;не медицинская должность
Плавильщик обезвоженного кварцевого стекла;не медицинская должность
Плавильщик огнеупорного сырья;не медицинская должность
Плавильщик пищевого жира;не медицинская должность
Плавильщик раскислителей;не медицинская должность
Плавильщик свинцовых сплавов;не медицинская должность
Плавильщик синтетических шлаков;не медицинская должность
Плавильщик стекловолокна;не медицинская должность
Плавильщик ферросплавов;не медицинская должность
Плавильщик циклонной установки;не медицинская должность
Плавильщик шоопсплава и висмута;не медицинская должность
Плавильщик электронно-лучевой плавки;не медицинская должность
Плавильщик эмали;не медицинская должность
Плавильщик-литейщик прецизионных сплавов;не медицинская должность
Плакировщик алмазных порошков, кристаллов и сверхтвердых материалов;не медицинская должность
Плакировщик изделий;не медицинская должность
Плакировщик полимерных материалов на металл;не медицинская должность
Планиметрист;не медицинская должность
Планировщик ресурсов;не медицинская должность
Пластикаторщик;не медицинская должность
Плетельщик мебели;не медицинская должность
Плиссировщик-гофрировщик;не медицинская должность
Пломбировщик вагонов и контейнеров;не медицинская должность
Плотник;не медицинская должность
Плотник судовой;не медицинская должность
Повар;не медицинская должность
Повар детского питания;не медицинская должность
Повар судовой;не медицинская должность
Повертальщик;не медицинская должность
Поверяльщик веретен;не медицинская должность
Поверяльщик разводок;не медицинская должность
Подборщик камней;не медицинская должность
Подборщик пресс-материалов;не медицинская должность
Подборщик ставок;не медицинская должность
Подборщик стекла;не медицинская должность
Подборщик-учетчик абразивных изделий;не медицинская должность
Подвесчик бомб и снарядов к самолету;не медицинская должность
Подгонщик катушек;не медицинская должность
Подгонщик шунтов;не медицинская должность
Подготовитель бассейнов;не медицинская должность
Подготовитель белья для глажения;не медицинская должность
Подготовитель пищевого сырья и материалов;не медицинская должность
Подготовитель прокатного инструмента;не медицинская должность
Подготовитель составов к разливке плавок;не медицинская должность
Подготовитель сталеразливочных канав;не медицинская должность
Подготовщик исходного материала;не медицинская должность
Подготовщик камер и рукавов;не медицинская должность
Подготовщик набивочных и настилочных материалов;не медицинская должность
Подготовщик основы для мультипликационных рисунков;не медицинская должность
Подготовщик паковок и целлюлозы;не медицинская должность
Подготовщик сетематериалов;не медицинская должность
Подготовщик сырья;не медицинская должность
Поддувщик изделий;не медицинская должность
Подинщик;не медицинская должность
Подносчик сырья, полуфабрикатов, химических материалов и отходов производства в отмочно-зольных,;не медицинская должность
Подносчик сырья, полуфабрикатов, химических материалов и отходов производства в сырейных,;не медицинская должность
Подручный вальцовщика стана горячего проката труб;не медицинская должность
Подручный вальцовщика стана горячей прокатки;не медицинская должность
Подручный вальцовщика стана холодного проката труб;не медицинская должность
Подручный вальцовщика стана холодной прокатки;не медицинская должность
Подручный сталевара вакуумной печи (второй);не медицинская должность
Подручный сталевара вакуумной печи (первый);не медицинская должность
Подручный сталевара конвертера (второй);не медицинская должность
Подручный сталевара конвертера (первый);не медицинская должность
Подручный сталевара мартеновской печи (второй);не медицинская должность
Подручный сталевара мартеновской печи (первый);не медицинская должность
Подручный сталевара мартеновской печи (третий);не медицинская должность
Подручный сталевара печи прямого восстановления железа (второй);не медицинская должность
Подручный сталевара печи прямого восстановления железа (первый);не медицинская должность
Подручный сталевара установки внепечной обработки стали;не медицинская должность
Подручный сталевара установки электрошлакового переплава;не медицинская должность
Подручный сталевара электропечи (второй);не медицинская должность
Подручный сталевара электропечи (первый);не медицинская должность
Подручный сталевара электропечи (третий);не медицинская должность
Подрывник-разрядчик боеприпасов;не медицинская должность
Подсобный рабочий;не медицинская должность
Подсобный рабочий на лесозаготовках, лесосплаве и подсочке леса;не медицинская должность
Подшкипер;не медицинская должность
Поездной электромеханик;не медицинская должность
Пожарный;не медицинская должность
Позолотчик художественных изделий;не медицинская должность
Полевой (путевой) рабочий изыскательской русловой партии;не медицинская должность
Поливщик в химико-фотографическом производстве;не медицинская должность
Полигонный рабочий;не медицинская должность
Полимеризаторщик;не медицинская должность
Полимеризаторщик металлических форм и листов;не медицинская должность
Полировщик;не медицинская должность
Полировщик водородным пламенем;не медицинская должность
Полировщик волок из алмазов и сверхтвердых материалов;не медицинская должность
Полировщик игл;не медицинская должность
Полировщик изделий из бумаги;не медицинская должность
Полировщик листов и лент;не медицинская должность
Полировщик лопаток;не медицинская должность
Полировщик музыкальных инструментов;не медицинская должность
Полировщик оптических деталей;не медицинская должность
Полировщик стекла и стеклоизделий;не медицинская должность
Полировщик стеклоизделий кислотой;не медицинская должность
Полировщик технических камней;не медицинская должность
Полировщик формных цилиндров глубокой печати;не медицинская должность
Полировщик хирургического инструмента и аппаратов;не медицинская должность
Полировщик художественных изделий;не медицинская должность
Полировщик шрота;не медицинская должность
Полотер;не медицинская должность
Поляризатор;не медицинская должность
Помощник бурильщика капитального ремонта скважин;не медицинская должность
Помощник бурильщика плавучего бурильного агрегата в море;не медицинская должность
Помощник бурильщика эксплуатационного и разведочного бурения скважин на нефть и газ (второй);не медицинская должность
Помощник бурильщика эксплуатационного и разведочного бурения скважин на нефть и газ (первый);не медицинская должность
Помощник бурильщика эксплуатационного и разведочного бурения скважин при электробурении;не медицинская должность
помощник воспитателя;не медицинская должность
помощник врача;медицинская должность
помощник врача по гигиене детей и подростков;медицинская должность
помощник врача по гигиене питания;медицинская должность
помощник врача по гигиене труда;медицинская должность
помощник врача по гигиеническому воспитанию;медицинская должность
помощник врача по коммунальной гигиене;медицинская должность
помощник врача по общей гигиене;медицинская должность
помощник врача по радиационной гигиене;медицинская должность
помощник врача-паразитолога;медицинская должность
помощник врача-эпидемиолога;медицинская должность
Помощник мастера;не медицинская должность
Помощник машиниста газотурбовоза;не медицинская должность
Помощник машиниста дизельпоезда;не медицинская должность
Помощник машиниста паровоза;не медицинская должность
Помощник машиниста рельсового автобуса;не медицинская должность
Помощник машиниста тепловоза;не медицинская должность
Помощник машиниста электровоза;не медицинская должность
Помощник машиниста электропоезда;не медицинская должность
помощник проректора;не медицинская должность
помощник ректора;не медицинская должность
Помощник руководителя;не медицинская должность
помощник энтомолога;медицинская должность
Портной;не медицинская должность
Портье;не медицинская должность
Порционист лао-ча;не медицинская должность
Посадчик металла;не медицинская должность
Постановщик-выгрузчик абразивных изделий;не медицинская должность
Постовой (разъездной) рабочий судоходной обстановки;не медицинская должность
Починщик шпона и фанеры;не медицинская должность
Почтальон;не медицинская должность
Пошивщик изделий;не медицинская должность
Правильщик вручную;не медицинская должность
Правильщик на машинах;не медицинская должность
Правильщик проката и труб;не медицинская должность
Правильщик роговых пластин;не медицинская должность
Правщик абразивных кругов;не медицинская должность
Правщик меховых шкурок и скроев изделий;не медицинская должность
Правщик проволоки и плетенки;не медицинская должность
Правщик технологической оснастки;не медицинская должность
Препаратор;не медицинская должность
Препаратор биологических объектов;не медицинская должность
Препаратор ветеринарный;не медицинская должность
Препаратор по анатомии;не медицинская должность
Препаратор по микрозоологии;не медицинская должность
Препаратор производства биосинтетических лечебных средств;не медицинская должность
Препаратор производства стекловидного тела;не медицинская должность
Препаратор скелетов мелких животных;не медицинская должность
Препаратор срезов по анатомии;не медицинская должность
Препараторщик;не медицинская должность
преподаватель;не медицинская должность
преподаватель-организатор основ безопасности жизнедеятельности;не медицинская должность
Прессовщик;не медицинская должность
Прессовщик агломератов;не медицинская должность
Прессовщик асбестоцементных изделий;не медицинская должность
Прессовщик блоков целлулоида;не медицинская должность
Прессовщик бумагоделательной (картоноделательной) машины;не медицинская должность
Прессовщик валяльно-войлочных изделий и шкурок;не медицинская должность
Прессовщик волокна;не медицинская должность
Прессовщик горячего стекла;не медицинская должность
Прессовщик горячего формования;не медицинская должность
Прессовщик горячих труб;не медицинская должность
Прессовщик готовой продукции и отходов;не медицинская должность
Прессовщик деталей для игрушек;не медицинская должность
Прессовщик древесных и костровых плит;не медицинская должность
Прессовщик заготовок для шпальтовых сит;не медицинская должность
Прессовщик изделий из древесины;не медицинская должность
Прессовщик изделий из металлических порошков;не медицинская должность
Прессовщик изделий из оптического стекла и кристаллов;не медицинская должность
Прессовщик изделий из пластмасс;не медицинская должность
Прессовщик изделий из рогового порошка;не медицинская должность
Прессовщик изделий из стеклопорошка;не медицинская должность
Прессовщик изделий строительной керамики;не медицинская должность
Прессовщик изделий электронной техники;не медицинская должность
Прессовщик изоляционных материалов;не медицинская должность
Прессовщик инструмента из алмазных порошков и сверхтвердых материалов;не медицинская должность
Прессовщик карандашных блоков;не медицинская должность
Прессовщик картона и фибры;не медицинская должность
Прессовщик картонажных изделий;не медицинская должность
Прессовщик кирпичного чая;не медицинская должность
Прессовщик клеильно-сушильной машины;не медицинская должность
Прессовщик кож;не медицинская должность
Прессовщик колес и бандажей;не медицинская должность
Прессовщик колесных пар;не медицинская должность
Прессовщик коллагенового жгута;не медицинская должность
Прессовщик коры;не медицинская должность
Прессовщик листовых материалов;не медицинская должность
Прессовщик литых бумажных изделий;не медицинская должность
Прессовщик лома и отходов металла;не медицинская должность
Прессовщик махорочной пыли;не медицинская должность
Прессовщик миканита и микалекса;не медицинская должность
Прессовщик молетов;не медицинская должность
Прессовщик на гидропрессах;не медицинская должность
Прессовщик на горячей штамповке;не медицинская должность
Прессовщик на испытании труб и баллонов;не медицинская должность
Прессовщик нафталина;не медицинская должность
Прессовщик обмазочного пресса;не медицинская должность
Прессовщик огнеупорных изделий;не медицинская должность
Прессовщик оптической керамики;не медицинская должность
Прессовщик отжимной машины;не медицинская должность
Прессовщик отходов;не медицинская должность
Прессовщик пергаментной машины;не медицинская должность
Прессовщик перевязочных материалов;не медицинская должность
Прессовщик пленочных материалов пресс-рулонным методом;не медицинская должность
Прессовщик плит из тростника;не медицинская должность
Прессовщик плиточного чая;не медицинская должность
Прессовщик полуфабриката макаронных изделий;не медицинская должность
Прессовщик пресспата;не медицинская должность
Прессовщик растительного войлока;не медицинская должность
Прессовщик ровничной машины;не медицинская должность
Прессовщик рядна из-под табака;не медицинская должность
Прессовщик секций, катушек и изоляционных деталей электрических машин и аппаратов;не медицинская должность
Прессовщик стальных профилей на установке гидроэкструзии;не медицинская должность
Прессовщик стеклопакетов;не медицинская должность
Прессовщик стекол;не медицинская должность
Прессовщик стержней;не медицинская должность
Прессовщик строительных изделий;не медицинская должность
Прессовщик сыра;не медицинская должность
Прессовщик сырья и волокна;не медицинская должность
Прессовщик твердых сплавов;не медицинская должность
Прессовщик ткани;не медицинская должность
Прессовщик торфоплит;не медицинская должность
Прессовщик труб и профилей;не медицинская должность
Прессовщик туб;не медицинская должность
Прессовщик фарфоровых труб;не медицинская должность
Прессовщик химического волокна;не медицинская должность
Прессовщик хлопковой целлюлозы и отходов целлулоида;не медицинская должность
Прессовщик электродной продукции;не медицинская должность
Прессовщик электродов и элементов;не медицинская должность
Прессовщик электрокерамических изделий в резиновых формах;не медицинская должность
Прессовщик электрокерамических изделий из пластических масс;не медицинская должность
Прессовщик электрокерамических изделий из порошковых масс;не медицинская должность
Прессовщик электротехнических изделий;не медицинская должность
Прессовщик электроугольных изделий;не медицинская должность
Прессовщик-вулканизаторщик;не медицинская должность
Прессовщик-выдувщик целлулоидных изделий;не медицинская должность
Прессовщик-освинцовщик рукавов;не медицинская должность
Прессовщик-отжимщик дрожжей;не медицинская должность
Прессовщик-отжимщик пищевой продукции;не медицинская должность
Прессовщик-прошивщик рельсовых скреплений;не медицинская должность
Прессовщик-формовщик пищевой продукции;не медицинская должность
Приборист;не медицинская должность
Привязывальщик;не медицинская должность
Приготовитель абразивных порошков, паст и мастик;не медицинская должность
Приготовитель активных масс;не медицинская должность
Приготовитель ангоба и глазури;не медицинская должность
Приготовитель белковых масс;не медицинская должность
Приготовитель бурового раствора;не медицинская должность
Приготовитель водорослевого порошка и крупки;не медицинская должность
Приготовитель волокна;не медицинская должность
Приготовитель грунтовых составов;не медицинская должность
Приготовитель заправочных, огнеупорных материалов и термических смесей;не медицинская должность
Приготовитель игристых вин;не медицинская должность
Приготовитель композиционных блоков;не медицинская должность
Приготовитель кормов;не медицинская должность
Приготовитель крахмального молока;не медицинская должность
Приготовитель крупки органического стекла;не медицинская должность
Приготовитель кулинарных изделий из мяса птицы и кроликов;не медицинская должность
Приготовитель лаков, красок и левкаса;не медицинская должность
Приготовитель масс;не медицинская должность
Приготовитель мелассного сусла;не медицинская должность
Приготовитель молочных коктейлей;не медицинская должность
Приготовитель морса;не медицинская должность
Приготовитель напитков;не медицинская должность
Приготовитель нюхательной махорки и табака;не медицинская должность
Приготовитель оптических клеев;не медицинская должность
Приготовитель питательных растворов;не медицинская должность
Приготовитель пробковой крупы;не медицинская должность
Приготовитель пропиточного состава;не медицинская должность
Приготовитель разделительной пасты;не медицинская должность
Приготовитель растворов и масс;не медицинская должность
Приготовитель растворов и смесей;не медицинская должность
