id|name|parent_id|sort|normative|form_30|sert|actual|comment|p_group|data_end
469|Начальник учебного вивария|260|411||||t|""|f|
470|Начальник лесхоза|260|412||||t|""|f|
471|Начальник опытного поля|260|413||||t|""|f|
472|Начальник ботанического сада (дендрария)|260|414||||t|""|f|
473|Руководитель питомника|260|415||||t|""|f|
474|Руководитель учебного вивария|260|416||||t|""|f|
475|Руководитель лесхоза|260|417||||t|""|f|
476|Руководитель опытного поля|260|418||||t|""|f|
477|Руководитель ботанического сада (дендрария)|260|419||||t|""|f|
261|Старший мастер|239|420|2|||t|""|f|
417|Директор студенческого дворца культуры|262|422||||t|""|f|
418|Начальник студенческого дворца культуры|262|423||||t|""|f|
419|Руководитель студенческого дворца культуры|262|424||||t|""|f|
420|Директор студенческого общежития|263|426||||t|""|f|
421|Начальник студенческого общежития|263|427||||t|""|f|
422|Заведующий студенческого общежития|263|428||||t|""|f|
423|Директор издательства учебной литературы и учебных пособий|264|430||||t|""|f|
424|Руководитель издательства учебной литературы и учебных пособий|264|431||||t|""|f|
425|Заведующий издательства учебной литературы и учебных пособий|264|432||||t|""|f|
267|Декан факультета|266|435|2|||t|""|f|
426|Заместитель декана|266|436||||t|""|f|
268|Начальник факультета|266|437|2|||t|""|f|
269|Директор института|266|438|2|||t|""|f|
270|Начальник института|266|439|2|||t|""|f|
271|Заведующий кафедрой|266|440|2|||t|""|f|
272|Начальник кафедры|266|441|2|||t|""|f|
273|Заместитель начальника кафедры|266|442|2|||t|""|f|
274|Профессор|266|443|2|||t|""|f|
275|Доцент|266|444|2|||t|""|f|
276|Старший преподаватель|266|445|2|||t|""|f|
277|Преподаватель|266|446|2|||t|""|f|
278|Ассистент|266|447|2|||t|""|f|
279|Заведующий курсом|266|448||||t|""|f|
281|Воспитатель|280|450|2|||t|""|f|
282|Инструктор-методист|280|451|2|||t|""|f|
283|Инструктор по труду|280|452|2|||t|""|f|
284|Инструктор по физической культуре|280|453|2|||t|""|f|
285|Концертмейстер|280|454|2|||t|""|f|
286|Логопед|280|455|2|||t|""|f|
287|Мастер производственного обучения|280|456|2|||t|""|f|
288|Методист|280|457|2|||t|""|f|
289|Музыкальный руководитель|280|458|2|||t|""|f|
290|Педагог дополнительного образования|280|459|2|||t|""|f|
291|Педагог-библиотекарь|280|460|2|||t|""|f|
292|Педагог-организатор|280|461|2|||t|""|f|
293|Педагог-психолог|280|462|2|||t|""|f|
294|Преподаватель|280|463|2|||t|""|f|
295|Преподаватель-организатор основ безопасности жизнедеятельности|280|464|2|||t|""|f|
296|Руководитель физического воспитания|280|465|2|||t|""|f|
297|Социальный педагог|280|466|2|||t|""|f|
